"E472f Эфиры смешанные глицерина и винной, уксусной и жирных кислот (Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids)",Машбух
E472g Не указано,Машбух
E473 Эфиры сахарозы и жирных кислот (Sucrose esters of fatty acids),Машбух
E474 Сахароглицериды (Sucroglycerides),Машбух
E475 Эфиры полиглицерина и жирных кислот (Polyglycerol esters of fatty acids),Машбух
E476 Эфиры полиглицерина и взаимоэтерифицированных рициноловых кислот (Polyglycerol esters of interesterified ricinoleic acid),Машбух
E477 Эфиры пропиленгликоля и жирных кислот (Propylene glycol esters of fatty acids),Машбух
E478 Не указано,Машбух
E479b Термически окисленное соевое масло с моно- и диглицеридами жирных кислот (Thermally oxidized soya bean oil interacted with mono and diglycerides of fatty acids),Машбух
E480 Диоктилсульфосукцинат натрия (Dioctyl sodium sulfosuccinate),Машбух
E481 Стеароил-2-лактилат натрия (Sodium stearoyl-2-lactylate),Машбух
E481(i) Не указано,Машбух
E481(ii) Не указано,Машбух
E482 Стеароил-2-лактилат кальция (Calcium stearoyl-2-lactylate),Машбух
E482(i) Не указано,Машбух
E482(ii) Не указано,Машбух
E483 Стеарилтартрат (Stearyl tartrate),Машбух
E484 Стеарилцитрат (Stearyl citrate),Халяль
E485 Не указано,Машбух
E486 Не указано,Машбух
E487 Не указано,Машбух
E488 Не указано,Машбух
E489 Не указано,Халяль
"E491 Сорбитан моностеарат, СПЭН 60 (Sorbitan monostearate)",Машбух
E492 Сорбитан тристеарат (Sorbitan tristearate),Машбух
"E493 Сорбитан монолаурат, СПЭН 20 (SORBITAN MONOLAURATE)",Машбух
"E494 Сорбитан моноолеат, СПЭН 80 (Sorbitan monooleate)",Машбух
"E495 Сорбитан монопальмитат, СПЭН 40 (Sorbitan monopalmitate)",Машбух
E496 Не указано,Машбух
E500 Карбонаты натрия (Sodium carbonates),Халяль
"E500(i)  Карбонат натрия (Sodium carbonate),",Халяль
"E500(ii) Гидрокарбонат натрия (Sodium hydrogen carbonate),",Халяль
E500(iii) Смесь карбоната и гидрокарбоната натрия (Sodium sesquicarbonate),Халяль
E501 Карбонаты калия (Potassium carbonates):,Халяль
"E501(i)  Карбонат калия (Potassium carbonate),",Халяль
E501(ii) Гидрокарбонат калия (Potassium hydrogen carbonate),Халяль
E503 Карбонаты аммония (Ammonium carbonates):,Халяль
"E503(i) Карбонат аммония (Ammonium carbonate),",Халяль
E503(ii) Гидрокарбонат аммония (Ammonium hydrogen carbonate),Халяль
E504 Карбонаты магния (Magnesium carbonates),Халяль
"E504(i) Карбонат магния (Magnesium carbonate),",Халяль
E504(ii) Гидрокарбонат магния (Magnesium hydrogen carbonate).,Халяль
E505 Не указано,Халяль
E507 Соляная кислота (Hydrochloric acid),Халяль
E508 Хлорид калия (Potassium chloride,Халяль
E509 Хлорид кальция (Calcium chloride),Халяль
